family,instance,method,n,repeat,seconds,seed
correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,0.6866331249766517,52
correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,0.6856895000091754,52
near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,0.032946249993983656,51
near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,0.03296029198099859,51
near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,0.03327054198598489,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.08273683302104473,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.08302024999284185,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.08264662500005215,51
near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,0.03455891599878669,52
near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,0.033615499996813014,52
near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,0.0333864169951994,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.07682041599764489,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.07687058299779892,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.07651741700829007,52
near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,0.06025133401271887,51
near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,0.06028804200468585,51
near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,0.05987137500778772,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.1869124159857165,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.1866137499746401,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.18597162500373088,51
near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,0.05985158300609328,52
near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,0.06031520801479928,52
near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,0.059723790996940807,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.18558241697610356,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.1856571249954868,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.18373283301480114,52
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,0.10134000002290122,51
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,0.10123924998333678,51
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,0.10341437498573214,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.4303502500115428,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.43373258400242776,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.4311772499931976,51
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,0.10466916701989248,52
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,0.1055320409941487,52
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,0.10531937499763444,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.43237116700038314,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.43063062499277294,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.42966100000194274,52
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,0,0.04323783298605122,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,1,0.04338254200411029,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,2,0.043353041022783145,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,0,0.07830449999892153,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,1,0.07832820899784565,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,2,0.07812766698771156,51
