adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.9369076420807974,17,94509,1183272,9.648210407356343e-07,6748.873219664619,0.27868041599867865,6290,8,tolerance,27,0.013533834586466165,2.0889510225775556e-14,6748.443465221216,0.14387904200702906,5,tolerance,18,0.009022556390977444,application,uci_online_retail,0.0,18,uci_online_retail_n360_s61,12,360,3,61,1995
1.2330601115510547,19,105232,1317732,6.241588752347321e-08,6944.581746937854,0.3000327079789713,6651,9,tolerance,30,0.014962593516209476,3.2553800968037316e-12,6943.205805689054,0.24332366700400598,9,tolerance,30,0.014962593516209476,application,uci_online_retail,0.0,18,uci_online_retail_n360_s62,12,360,3,62,2005
1.4220084220122824,17,93686,1173396,0.0,7208.359175273916,0.27377833300852217,5562,8,exact,27,0.0136986301369863,4.422210349853974e-07,7207.117491138701,0.19252933299867436,7,tolerance,24,0.0121765601217656,application,uci_online_retail,4.4221995064236763e-07,18,uci_online_retail_n360_s63,12,360,3,63,1971
1.8661775091418213,17,188353,2358360,7.905178325496999e-07,13895.70652667129,0.5844723329937551,12138,8,tolerance,27,0.006795872136924239,6.953143520416723e-08,13894.622476278708,0.3131922500033397,6,tolerance,21,0.005285678328718852,application,uci_online_retail,6.192211559587575e-08,26,uci_online_retail_n720_s61,12,720,3,61,3973
2.1215275070076944,19,210517,2635872,8.097049068949655e-07,13927.373424939877,0.680493916006526,12941,9,tolerance,30,0.0074794315632011965,3.098778588632767e-08,13925.320133462837,0.3207565839984454,6,tolerance,21,0.005235602094240838,application,uci_online_retail,0.0,26,uci_online_retail_n720_s62,12,720,3,62,4011
1.4501143627847026,19,208495,2611608,3.850851140957023e-07,13543.72941411399,0.6658778329729103,13305,9,tolerance,30,0.007545271629778672,8.545103060081874e-08,13541.284506152879,0.45918987499317154,8,tolerance,27,0.006790744466800805,application,uci_online_retail,8.545096070155647e-08,26,uci_online_retail_n720_s63,12,720,3,63,3976
1.5069263462740339,19,418833,5245104,5.072453908555921e-15,29408.54021460091,1.3584539159783162,23727,9,tolerance,30,0.00375234521575985,3.7734108344135514e-14,29405.320142815886,0.9014733330113813,9,tolerance,30,0.00375234521575985,application,uci_online_retail,0.0,37,uci_online_retail_n1440_s61,12,1440,3,61,7995
1.746593746302069,21,460918,5773188,0.0,28576.996070012443,1.4952797919977456,28375,10,tolerance,33,0.004116766467065869,3.0938505196986844e-14,28573.741507375144,0.856111958011752,8,tolerance,27,0.0033682634730538923,application,uci_online_retail,0.0,37,uci_online_retail_n1440_s62,12,1440,3,62,8016
3.8539588770647377,27,584933,7330560,8.379104767310569e-07,27122.5779654825,1.8855638329987414,34623,13,tolerance,42,0.005242791162152041,8.867105688306316e-07,27117.60167970416,0.48925375001272187,4,tolerance,15,0.0018724254150543004,application,uci_online_retail,5.454874310286614e-07,37,uci_online_retail_n1440_s63,12,1440,3,63,8011
