adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
1.156279595465887,1,14401,178584,5.380531884735768e-15,18255.709639066754,0.05854845899739303,2051,0,tolerance,3,0.11538461538461539,2.8297612134536265e-14,18255.709639067172,0.05063520901603624,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s31,6,720,3,31,26
1.12190199020135,1,14401,178584,2.5895627079222324e-15,18263.208821901477,0.05582345899892971,1863,0,tolerance,3,0.11538461538461539,8.692962813363556e-13,18263.208821917306,0.04975787500734441,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s32,6,720,3,32,26
1.1593911297750723,1,14401,178584,9.967603877726339e-16,18249.013763584466,0.05703687501954846,1920,0,tolerance,3,0.11538461538461539,8.5302753985582e-13,18249.013763600014,0.04919554200023413,0,tolerance,3,0.11538461538461539,sparse_budget,dense_frontier,0.0,1,dense_frontier_n720_m6_g1_s33,6,720,3,33,26
1.7438103448750375,7,87653,1092240,7.842187825958298e-15,15772.762648824628,0.26777537498855963,10095,3,tolerance,12,0.46153846153846156,4.041609887657478e-12,15772.547430265997,0.15355762498802505,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s31,6,720,3,31,26
5.974515336722383,8,98628,1229712,8.864379104760825e-15,15800.996694909543,0.2800324999843724,11230,4,tolerance,12,0.46153846153846156,8.661649603416878e-12,15800.56340314015,0.04687116597779095,0,tolerance,3,0.11538461538461539,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s32,6,720,3,32,26
1.8149869733867452,8,98670,1230216,8.196180755417282e-15,15757.519389359099,0.2833759580098558,10874,4,tolerance,12,0.46153846153846156,2.1494772628995746e-12,15757.125361886188,0.15613112499704584,3,tolerance,12,0.46153846153846156,sparse_budget,correlated_risk,0.0,1,correlated_risk_n720_m6_g1_s33,6,720,3,33,26
1.1167719510225915,1,14401,178584,0.0,13395.363649384253,0.053132333006942645,1624,0,tolerance,3,0.11538461538461539,1.9313761808789544e-12,13395.36364941022,0.04757670799153857,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s31,6,720,3,31,26
0.9990556017591177,1,14401,178584,0.0,13430.777280173803,0.04919120800332166,1391,0,tolerance,3,0.11538461538461539,3.1434326677891773e-13,13430.777280178127,0.04923770800814964,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s32,6,720,3,32,26
1.0226775912049366,1,14401,178584,0.0,13454.210539867703,0.049519583000801504,1378,0,tolerance,3,0.11538461538461539,1.920630228745205e-12,13454.210539893638,0.04842150001786649,0,tolerance,3,0.11538461538461539,sparse_budget,near_tie,0.0,1,near_tie_n720_m6_g1_s33,6,720,3,33,26
3.9282960703916947,5,65702,817284,9.72643692490505e-07,17226.381130560454,0.21239675002289005,8191,2,tolerance,9,0.002499305748403221,9.726447465247027e-07,17226.357481440362,0.054068416997324675,0,tolerance,3,0.0008331019161344071,sparse_budget,many_breakpoints,0.0,1,many_breakpoints_n720_m6_g1_s31,6,720,3,31,3601
3.893228675131667,5,65702,817284,9.735282459733935e-07,17251.583941893623,0.21519854199141264,8138,2,tolerance,9,0.002499305748403221,9.735287959444335e-07,17251.559219801955,0.05527508398517966,0,tolerance,3,0.0008331019161344071,sparse_budget,many_breakpoints,0.0,1,many_breakpoints_n720_m6_g1_s32,6,720,3,32,3601
3.864401733827551,5,65702,817284,9.67990186660866e-07,17247.1871178089,0.21323833300266415,8357,2,tolerance,9,0.002499305748403221,9.67991250813881e-07,17247.16331898806,0.05518016699352302,0,tolerance,3,0.0008331019161344071,sparse_budget,many_breakpoints,0.0,1,many_breakpoints_n720_m6_g1_s33,6,720,3,33,3601
2.6431702850177348,8,183408,2247072,4.183927444460619e-15,18278.25003332737,0.5939236670092214,19249,4,tolerance,12,0.46153846153846156,1.5841146243288755e-12,18259.7705058664,0.22470125000108965,3,tolerance,12,0.46153846153846156,wide_menu,dense_frontier,0.0,26,dense_frontier_n720_m12_g26_s31,12,720,3,31,26
2.5031950463819976,8,183408,2247072,5.376903266232607e-15,18287.36255663451,0.5773467080143746,19058,4,tolerance,12,0.46153846153846156,5.988277082059796e-13,18268.029556789465,0.23064391600200906,3,tolerance,12,0.46153846153846156,wide_menu,dense_frontier,0.0,26,dense_frontier_n720_m12_g26_s32,12,720,3,32,26
