family,groups,seed,repeat,order_index,method,status,certified,objective,upper_bound,relative_gap,seconds,nodes,theta_integer_solves,interval_bound_evaluations,interval_splits,thresholds_covered_by_prunes
near_tie,30,0,0,1,scip,optimal,True,532.1505785023479,532.1505785023479,0.0,1.6792312499892432,136,0,0,0,0
near_tie,30,0,0,2,envelope,optimal,True,532.1505785023479,532.1505785023479,0.0,0.10311487500439398,443,7,17,8,22
near_tie,30,0,0,3,clique,optimal,True,532.1505785023479,532.1505785023479,0.0,0.10161912499461323,443,7,17,8,22
near_tie,30,0,1,0,scip,optimal,True,532.1505785023479,532.1505785023479,0.0,1.695212457998423,136,0,0,0,0
near_tie,30,0,1,1,envelope,optimal,True,532.1505785023479,532.1505785023479,0.0,0.10015262497472577,443,7,17,8,22
near_tie,30,0,1,2,clique,optimal,True,532.1505785023479,532.1505785023479,0.0,0.10251995900762267,443,7,17,8,22
near_tie,30,0,1,3,enumeration,optimal,True,532.1505785023479,532.1505785023479,0.0,0.09222229200531729,443,1,0,0,22
near_tie,30,1,0,0,scip,optimal,True,526.771638393551,526.7716383935511,0.0,0.8668611670145765,1032,0,0,0,0
near_tie,30,1,0,1,envelope,optimal,True,526.771638393551,526.771638393551,0.0,0.2693778749962803,2006,7,18,9,21
near_tie,30,1,0,2,clique,optimal,True,526.771638393551,526.771638393551,0.0,0.2685638749971986,2006,7,18,9,21
near_tie,30,1,0,3,enumeration,optimal,True,526.771638393551,526.771638393551,0.0,0.25316208400181495,1892,2,0,0,21
near_tie,30,1,1,0,envelope,optimal,True,526.771638393551,526.771638393551,0.0,0.26624625001568347,2006,7,18,9,21
near_tie,30,1,1,1,clique,optimal,True,526.771638393551,526.771638393551,0.0,0.2684135410236195,2006,7,18,9,21
near_tie,30,1,1,2,enumeration,optimal,True,526.771638393551,526.771638393551,0.0,0.2446574170025997,1892,2,0,0,21
near_tie,30,1,1,3,scip,optimal,True,526.771638393551,526.7716383935511,0.0,0.9244223329878878,1032,0,0,0,0
near_tie,30,2,0,0,envelope,optimal,True,525.4966058909471,525.4966058909471,0.0,0.170437791995937,1027,9,22,11,19
near_tie,30,2,0,1,clique,optimal,True,525.4966058909471,525.4966058909471,0.0,0.16718012499040924,1027,9,22,11,19
near_tie,30,2,0,2,enumeration,optimal,True,525.4966058909471,525.4966058909471,0.0,0.15080908298841678,1027,3,0,0,19
near_tie,30,2,0,3,scip,optimal,True,525.4966058909471,525.4966058909472,0.0,0.8683289170148782,488,0,0,0,0
near_tie,30,2,1,0,clique,optimal,True,525.4966058909471,525.4966058909471,0.0,0.17508391698356718,1027,9,22,11,19
near_tie,30,2,1,1,enumeration,optimal,True,525.4966058909471,525.4966058909471,0.0,0.1508919159823563,1027,3,0,0,19
near_tie,30,2,1,2,scip,optimal,True,525.4966058909471,525.4966058909472,0.0,0.8887895000225399,488,0,0,0,0
near_tie,30,2,1,3,envelope,optimal,True,525.4966058909471,525.4966058909471,0.0,0.17809120801393874,1027,9,22,11,19
many_breakpoints,30,0,0,0,enumeration,time_limit,False,713.229606853614,715.6763442087799,0.0034187763434754426,5.000392083020415,46721,9,0,0,0
many_breakpoints,30,0,0,1,scip,optimal,True,713.229606853614,713.2296068536139,0.0,0.05693437499576248,1,0,0,0,0
many_breakpoints,30,0,0,2,envelope,time_limit,False,712.1424483650588,715.6929449042975,0.004985654973088505,5.000245624978561,47286,4,15,7,0
many_breakpoints,30,0,0,3,clique,time_limit,False,712.1424483650588,715.6929448866672,0.004985654948331762,5.000200165988645,47737,4,15,7,0
many_breakpoints,30,0,1,0,scip,optimal,True,713.229606853614,713.2296068536139,0.0,0.055488457990577444,1,0,0,0,0
many_breakpoints,30,0,1,1,envelope,time_limit,False,712.1424483650588,715.6929449042975,0.004985654973088505,5.000214665982639,49125,4,15,7,0
many_breakpoints,30,0,1,2,clique,time_limit,False,712.1424483650588,715.6929448866672,0.004985654948331762,5.0002659170131665,48981,4,15,7,0
many_breakpoints,30,0,1,3,enumeration,time_limit,False,713.229606853614,715.6763442087799,0.0034187763434754426,5.000401833007345,48822,9,0,0,0
many_breakpoints,30,1,0,0,scip,optimal,True,712.2471229623782,712.247122962378,0.0,0.010651374992448837,1,0,0,0,0
many_breakpoints,30,1,0,1,envelope,time_limit,False,706.9778526602863,712.709932083279,0.008107862787247785,5.005881917022634,49210,2,1,0,0
many_breakpoints,30,1,0,2,clique,time_limit,False,706.9778526602863,712.7099320821164,0.008107862785603376,5.003615624998929,47693,2,1,0,0
many_breakpoints,30,1,0,3,enumeration,optimal,True,712.2471229623782,712.2471229623782,0.0,1.1341041670239065,6638,18,0,0,96
many_breakpoints,30,1,1,0,envelope,time_limit,False,706.9778526602863,712.709932083279,0.008107862787247785,5.0038183750002645,50397,2,1,0,0
many_breakpoints,30,1,1,1,clique,time_limit,False,706.9778526602863,712.7099320821164,0.008107862785603376,5.004168874991592,51083,2,1,0,0
many_breakpoints,30,1,1,2,enumeration,optimal,True,712.2471229623782,712.2471229623782,0.0,1.1144191669882275,6638,18,0,0,96
many_breakpoints,30,1,1,3,scip,optimal,True,712.2471229623782,712.247122962378,0.0,0.009451124991755933,1,0,0,0,0
many_breakpoints,30,2,0,0,envelope,optimal,True,716.5517832866142,716.5517832866142,0.0,0.6038019999978133,1888,47,97,48,107
many_breakpoints,30,2,0,1,clique,optimal,True,716.5517832866142,716.5517832866142,0.0,0.5993192909809295,1888,47,97,48,107
many_breakpoints,30,2,0,2,enumeration,optimal,True,716.5517832866142,716.5517832866142,0.0,0.583172167011071,1888,44,0,0,107
many_breakpoints,30,2,0,3,scip,optimal,True,716.5517832866141,716.5517832866141,0.0,0.004610208998201415,1,0,0,0,0
many_breakpoints,30,2,1,0,clique,optimal,True,716.5517832866142,716.5517832866142,0.0,0.6189642079989426,1888,47,97,48,107
many_breakpoints,30,2,1,1,enumeration,optimal,True,716.5517832866142,716.5517832866142,0.0,0.5884942919947207,1888,44,0,0,107
many_breakpoints,30,2,1,2,scip,optimal,True,716.5517832866141,716.5517832866141,0.0,0.004424499988090247,1,0,0,0,0
many_breakpoints,30,2,1,3,envelope,optimal,True,716.5517832866142,716.5517832866142,0.0,0.6339582499931566,1888,47,97,48,107
