adaptive_speedup,clique_interval_lp_evaluations,clique_interval_matrix_nnz,clique_interval_matrix_storage_bytes,clique_relative_gap,clique_root_bound,clique_seconds,clique_solver_iterations,clique_splits,clique_status,clique_theta_evaluations,clique_theta_fraction,compressed_all_interval_bounds_certified,compressed_interval_bound_evaluations,compressed_maximum_oracle_optimality_gap,compressed_maximum_scaled_oracle_optimality_gap,compressed_multiplier_evaluations,compressed_relative_gap,compressed_root_bound,compressed_seconds,compressed_splits,compressed_status,compressed_theta_evaluations,compressed_theta_fraction,configuration,family,final_lower_bound_relative_difference,gamma,instance,menu_size,n,repeats,seed,theta_count
6.4703538153425155,5,261507,3253344,0.0,72749.4486654535,1.3599339794996013,37204,2,exact,9,0.34615384615384615,True,1,0.0006434077367885038,8.845726973833004e-09,47,1.080341769551294e-14,72736.55841874852,0.2101792294997722,0,tolerance,3,0.11538461538461539,stress,dense_frontier,0.0,53,dense_frontier_n2880_m6_g53_s41,6,2880,2,41,26
9.153415503131775,5,523010,6506580,2.4574360282958724e-14,145679.29548142126,3.7133665624996866,76166,2,tolerance,9,0.34615384615384615,True,1,0.0012818138347938657,8.799376749413944e-09,47,5.174601067712447e-14,145670.9800360846,0.4056809789994986,0,tolerance,3,0.11538461538461539,stress,dense_frontier,0.0,75,dense_frontier_n5760_m6_g75_s41,6,5760,2,41,26
5.819529686216036,9,448718,5592084,0.0,62861.04815103051,3.1825138329995752,59881,4,exact,15,0.5769230769230769,True,5,0.0003921416064258665,6.28894235882148e-09,245,0.0,62746.12776544895,0.5468678749998617,2,exact,9,0.34615384615384615,stress,correlated_risk,0.0,53,correlated_risk_n2880_m6_g53_s41,6,2880,2,41,26
7.609503804984951,7,701084,8735652,3.474432581455087e-14,125800.35020056929,11.172849270999905,104585,3,tolerance,12,0.46153846153846156,True,7,0.0007896257739048451,6.330502722840257e-09,343,1.0353809092736159e-13,125650.51743733294,1.4682756665001762,3,tolerance,12,0.46153846153846156,stress,correlated_risk,0.0,75,correlated_risk_n5760_m6_g75_s41,6,5760,2,41,26
7.986924961226052,7,351943,4384680,2.810282483992166e-14,53351.303891355354,1.5714562709999882,42094,3,tolerance,12,0.46153846153846156,True,1,0.0004740776712424122,8.888778753676473e-09,48,7.598676425163285e-14,53334.39883924771,0.19675360400015052,0,tolerance,3,0.11538461538461539,stress,near_tie,0.0,53,near_tie_n2880_m6_g53_s41,6,2880,2,41,26
8.586315350159753,5,523013,6506616,0.0,107193.47655153857,3.399163395999949,66283,2,exact,9,0.34615384615384615,True,1,0.0009527248039375991,8.889150264341161e-09,48,5.987582648090463e-14,107178.3888904945,0.39588149949986473,0,tolerance,3,0.11538461538461539,stress,near_tie,0.0,75,near_tie_n5760_m6_g75_s41,6,5760,2,41,26
2.086033523285059,19,879666,10993980,1.6999307589020235e-14,64897.66054491806,5.108355770500111,124285,9,tolerance,30,0.002083188667453649,True,19,0.0004187515005469322,7.331296422972555e-09,950,1.6999307589020235e-14,64202.24096847673,2.448836854000092,9,tolerance,30,0.002083188667453649,stress,many_breakpoints,0.0,53,many_breakpoints_n2880_m6_g53_s41,6,2880,2,41,14401
3.405001264212826,19,1757757,21968832,7.025790072948166e-07,126803.57999599884,17.096230291999746,243376,9,tolerance,30,0.001041630498941009,True,19,0.0008770319836912677,7.915387742196e-09,969,7.025790014214886e-07,123881.42876438385,5.02091745800044,9,tolerance,30,0.001041630498941009,stress,many_breakpoints,0.0,75,many_breakpoints_n5760_m6_g75_s41,6,5760,2,41,28801
