family,instance,method,n,repeat,seconds,seed
correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,1,0.80886158300018,52
correlated_risk,correlated_risk_n1440_m6_g37_s52,clique,1440,2,0.814936249999846,52
near_tie,near_tie_n360_m6_g18_s51,compressed,360,0,0.045160499999838066,51
near_tie,near_tie_n360_m6_g18_s51,compressed,360,1,0.04536808299963013,51
near_tie,near_tie_n360_m6_g18_s51,compressed,360,2,0.04442250000010972,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,0,0.08670979199996509,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,1,0.08648316699964198,51
near_tie,near_tie_n360_m6_g18_s51,clique,360,2,0.08593479200044385,51
near_tie,near_tie_n360_m6_g18_s52,compressed,360,0,0.04445350000059989,52
near_tie,near_tie_n360_m6_g18_s52,compressed,360,1,0.04395979199944122,52
near_tie,near_tie_n360_m6_g18_s52,compressed,360,2,0.04365616599989153,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,0,0.08438850000038656,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,1,0.0843103750003138,52
near_tie,near_tie_n360_m6_g18_s52,clique,360,2,0.08434391700029664,52
near_tie,near_tie_n720_m6_g26_s51,compressed,720,0,0.08110666700031288,51
near_tie,near_tie_n720_m6_g26_s51,compressed,720,1,0.08112883400008286,51
near_tie,near_tie_n720_m6_g26_s51,compressed,720,2,0.08156495899947913,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,0,0.20051612499992189,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,1,0.20184670799972082,51
near_tie,near_tie_n720_m6_g26_s51,clique,720,2,0.20198087500011752,51
near_tie,near_tie_n720_m6_g26_s52,compressed,720,0,0.08112737499959621,52
near_tie,near_tie_n720_m6_g26_s52,compressed,720,1,0.0802285829995526,52
near_tie,near_tie_n720_m6_g26_s52,compressed,720,2,0.08092624999972031,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,0,0.19523449999996956,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,1,0.1965063329998884,52
near_tie,near_tie_n720_m6_g26_s52,clique,720,2,0.19549695800014888,52
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,0,0.15498891699917294,51
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,1,0.15380945900051302,51
near_tie,near_tie_n1440_m6_g37_s51,compressed,1440,2,0.154741458000899,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,0,0.48096116700071434,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,1,0.5035995420003019,51
near_tie,near_tie_n1440_m6_g37_s51,clique,1440,2,0.4844053749993691,51
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,0,0.158456500000284,52
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,1,0.1540521249999074,52
near_tie,near_tie_n1440_m6_g37_s52,compressed,1440,2,0.15492149999954563,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,0,0.4536439159992369,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,1,0.4485573330002808,52
near_tie,near_tie_n1440_m6_g37_s52,clique,1440,2,0.4571984579997661,52
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,0,0.05771625000033964,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,1,0.057620000000497384,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,compressed,360,2,0.06137545899946417,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,0,0.08630116600033944,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,1,0.08528366700011247,51
many_breakpoints,many_breakpoints_n360_m6_g18_s51,clique,360,2,0.08757675000015297,51
many_breakpoints,many_breakpoints_n360_m6_g18_s52,compressed,360,0,0.057448000000476895,52
